support,itemsets
0.35694641969808605,frozenset({'Part_of_Day_Afternoon (12-17)'})
0.34391545724028033,frozenset({'Wind_Chill(F)_0'})
0.33985880982162747,frozenset({'Temperature(F)_0'})
0.33812391837014444,frozenset({'Weather_Fair'})
0.3198004660646665,"frozenset({'Wind_Chill(F)_0', 'Temperature(F)_0'})"
0.28837322869724646,frozenset({'Wind_Chill(F)_1'})
0.2679807576977776,frozenset({'Part_of_Day_Evening (18-23)'})
0.25720943780949607,frozenset({'Pressure(in)_1'})
0.25088029677353024,frozenset({'Pressure(in)_4'})
0.24486600640838915,frozenset({'Part_of_Day_Morning (6-11)'})
0.24263206593444253,frozenset({'Pressure(in)_2'})
0.22919843731258888,frozenset({'Humidity(%)_1'})
0.20875884580456128,frozenset({'Wind_Speed(mph)_1'})
0.20665555764980037,frozenset({'Humidity(%)_4'})
0.2004078065831634,frozenset({'Wind_Speed(mph)_3'})
0.1986472130361029,frozenset({'Humidity(%)_3'})
0.1968523500282723,frozenset({'Temperature(F)_1'})
0.19409580027758264,frozenset({'Wind_Speed(mph)_2'})
0.18348940216925685,frozenset({'Temperature(F)_2'})
0.1830824523226127,frozenset({'Humidity(%)_2'})
0.18241633967889515,frozenset({'Humidity(%)_0'})
0.17402888915542913,frozenset({'Wind_Speed(mph)_4'})
0.17273735885265845,"frozenset({'Wind_Chill(F)_1', 'Temperature(F)_1'})"
0.17272236596357157,frozenset({'Wind_Chill(F)_3'})
0.17076686485838144,frozenset({'Weekday_Friday'})
0.1679267832970648,frozenset({'Weather_Cloudy'})
0.16593272904850842,frozenset({'Weekday_Thursday'})
0.16037679272116653,frozenset({'Pressure(in)_3'})
0.15973852401432465,frozenset({'Weekday_Wednesday'})
0.1589717448295951,frozenset({'Temperature(F)_3'})
0.1548958208392591,frozenset({'Weekday_Tuesday'})
0.15006168502938605,frozenset({'Weekday_Monday'})
0.14779133325337127,frozenset({'Weather_Mostly Cloudy'})
0.14252026181868027,frozenset({'December'})
0.12517777282774456,frozenset({'November'})
0.1223355494251298,frozenset({'Wind_Chill(F)_4'})
0.12052997721080859,frozenset({'Temperature(F)_4'})
0.11545381333424719,"frozenset({'Weather_Fair', 'Wind_Chill(F)_0'})"
0.11468060862562328,"frozenset({'Humidity(%)_0', 'Part_of_Day_Afternoon (12-17)'})"
0.11423938931820908,"frozenset({'Weather_Fair', 'Part_of_Day_Afternoon (12-17)'})"
0.11389669471050873,frozenset({'Junction'})
0.1104975925703809,"frozenset({'Weather_Fair', 'Temperature(F)_0'})"
0.10749473107040661,"frozenset({'Weather_Fair', 'Wind_Chill(F)_0', 'Temperature(F)_0'})"
0.10746902897482909,frozenset({'Weekday_Saturday'})
0.10609396686143144,"frozenset({'Temperature(F)_0', 'Pressure(in)_4'})"
0.10383432429190727,"frozenset({'Wind_Chill(F)_3', 'Temperature(F)_3'})"
0.10292189989890509,"frozenset({'Humidity(%)_1', 'Part_of_Day_Afternoon (12-17)'})"
0.10290904885111633,frozenset({'October'})
0.10241214166995083,frozenset({'Part_of_Day_Night (0-5)'})
0.1007393636161135,"frozenset({'Wind_Chill(F)_0', 'Pressure(in)_4'})"
0.1003366974520656,"frozenset({'December', 'Wind_Chill(F)_0'})"
0.09989333630335327,"frozenset({'December', 'Temperature(F)_0'})"
0.09935145045492709,"frozenset({'Part_of_Day_Evening (18-23)', 'Weather_Fair'})"
0.09923793286612635,frozenset({'Traffic_Signal'})
0.09909014581655558,"frozenset({'Part_of_Day_Morning (6-11)', 'Temperature(F)_0'})"
0.09801065780229948,"frozenset({'Pressure(in)_1', 'Part_of_Day_Afternoon (12-17)'})"
0.09796353729374069,"frozenset({'Weather_Fair', 'Humidity(%)_0'})"
0.09765511214681037,"frozenset({'Wind_Chill(F)_4', 'Temperature(F)_4'})"
0.09605087301451312,"frozenset({'Wind_Chill(F)_1', 'Part_of_Day_Afternoon (12-17)'})"
0.09571674577200527,"frozenset({'Part_of_Day_Morning (6-11)', 'Wind_Chill(F)_0'})"
0.09505277496958585,"frozenset({'December', 'Wind_Chill(F)_0', 'Temperature(F)_0'})"
0.09477647744212744,"frozenset({'Wind_Chill(F)_0', 'Temperature(F)_0', 'Pressure(in)_4'})"
0.09449161254947654,"frozenset({'Weather_Fair', 'Humidity(%)_1'})"
0.09379979781018145,"frozenset({'Wind_Chill(F)_1', 'Pressure(in)_4'})"
0.09128741796747829,"frozenset({'Part_of_Day_Evening (18-23)', 'Wind_Chill(F)_0'})"
0.09113534723531125,frozenset({'Weekday_Sunday'})
0.09078408526241839,"frozenset({'Part_of_Day_Evening (18-23)', 'Temperature(F)_0'})"
0.09060417059337571,"frozenset({'Wind_Chill(F)_0', 'Part_of_Day_Afternoon (12-17)'})"
0.0904456743373143,"frozenset({'Part_of_Day_Morning (6-11)', 'Wind_Chill(F)_0', 'Temperature(F)_0'})"
0.09036642620928359,"frozenset({'Pressure(in)_2', 'Part_of_Day_Afternoon (12-17)'})"
0.09017151865115403,"frozenset({'Pressure(in)_1', 'Wind_Chill(F)_0'})"
0.08892496701564401,frozenset({'Weather_Partly Cloudy'})
0.08890140676136461,frozenset({'Pressure(in)_0'})
0.08830383303918712,frozenset({'June'})
0.08823957780024332,"frozenset({'Wind_Speed(mph)_3', 'Part_of_Day_Afternoon (12-17)'})"
0.08716651530988159,"frozenset({'Weather_Fair', 'Pressure(in)_2'})"
0.08594566576994911,"frozenset({'Part_of_Day_Evening (18-23)', 'Wind_Chill(F)_0', 'Temperature(F)_0'})"
0.08534166652387724,"frozenset({'Pressure(in)_1', 'Temperature(F)_0'})"
