antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Temperature(F)_0'}),frozenset({'Wind_Chill(F)_0'}),0.33985880982162747,0.34391545724028033,0.3198004660646665,0.940980362499685,2.7360804601529107,0.202917768087724,11.116377032241477,0.961178732096755
frozenset({'Wind_Chill(F)_0'}),frozenset({'Temperature(F)_0'}),0.34391545724028033,0.33985880982162747,0.3198004660646665,0.9298810487637791,2.7360804601529107,0.202917768087724,9.414590186245789,0.9671218125510254
frozenset({'Wind_Chill(F)_1'}),frozenset({'Temperature(F)_1'}),0.28837322869724646,0.1968523500282723,0.17273735885265845,0.5990062240972088,3.0429213774241375,0.11597041109836506,2.0028930577875768,0.9434277444547138
frozenset({'Temperature(F)_1'}),frozenset({'Wind_Chill(F)_1'}),0.1968523500282723,0.28837322869724646,0.17273735885265845,0.877497062279671,3.042921377424137,0.11597041109836506,5.8090588237759535,0.8359215640702934
frozenset({'Weather_Fair'}),frozenset({'Wind_Chill(F)_0'}),0.33812391837014444,0.34391545724028033,0.11545381333424719,0.3414541446543271,0.992843262685243,-0.0008322286558962583,0.99626250386974,-0.01077341712101823
frozenset({'Wind_Chill(F)_0'}),frozenset({'Weather_Fair'}),0.34391545724028033,0.33812391837014444,0.11545381333424719,0.335704054306533,0.992843262685243,-0.0008322286558962583,0.9963572499888054,-0.010867485166997823
frozenset({'Humidity(%)_0'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.18241633967889515,0.35694641969808605,0.11468060862562328,0.6286750892353936,1.7612589860605474,0.04956774928281174,1.7317814174593964,0.5286606759180487
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Humidity(%)_0'}),0.35694641969808605,0.18241633967889515,0.11468060862562328,0.32128241746372727,1.7612589860605474,0.04956774928281174,1.2046006783350285,0.6721435720519247
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weather_Fair'}),0.35694641969808605,0.33812391837014444,0.11423938931820908,0.3200463235205876,0.946535592818467,-0.006452732758301882,0.9734134905437133,-0.08074517219259636
frozenset({'Weather_Fair'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.33812391837014444,0.35694641969808605,0.11423938931820908,0.3378624909733572,0.946535592818467,-0.006452732758301882,0.9711782998779473,-0.07862948467071329
frozenset({'Weather_Fair'}),frozenset({'Temperature(F)_0'}),0.33812391837014444,0.33985880982162747,0.1104975925703809,0.32679614356479547,0.9615644324074228,-0.004416799899121512,0.9805962694182971,-0.05695237587845087
frozenset({'Temperature(F)_0'}),frozenset({'Weather_Fair'}),0.33985880982162747,0.33812391837014444,0.1104975925703809,0.32512793365096165,0.9615644324074226,-0.004416799899121512,0.9807430395074888,-0.05709350477595885
"frozenset({'Weather_Fair', 'Wind_Chill(F)_0'})",frozenset({'Temperature(F)_0'}),0.11545381333424719,0.33985880982162747,0.10749473107040661,0.9310626298604927,2.739557142417919,0.06825673548126102,9.575955520822115,0.7178568044084892
frozenset({'Temperature(F)_0'}),"frozenset({'Weather_Fair', 'Wind_Chill(F)_0'})",0.33985880982162747,0.11545381333424719,0.10749473107040661,0.31629231893922205,2.739557142417919,0.06825673548126102,1.293749084833115,0.9618813495640518
"frozenset({'Weather_Fair', 'Temperature(F)_0'})",frozenset({'Wind_Chill(F)_0'}),0.1104975925703809,0.34391545724028033,0.10749473107040661,0.9728241907346385,2.8286724840487882,0.06949290099761385,24.142226505687596,0.7267853029508431
"frozenset({'Wind_Chill(F)_0', 'Temperature(F)_0'})",frozenset({'Weather_Fair'}),0.3198004660646665,0.33812391837014444,0.10749473107040661,0.33613062667854343,0.9941048485974927,-0.0006374556119768393,0.9969974640016481,-0.008642842282622496
frozenset({'Weather_Fair'}),"frozenset({'Wind_Chill(F)_0', 'Temperature(F)_0'})",0.33812391837014444,0.3198004660646665,0.10749473107040661,0.3179151938986229,0.9941048485974927,-0.0006374556119768393,0.9972360150098939,-0.008879986996557558
frozenset({'Wind_Chill(F)_0'}),"frozenset({'Weather_Fair', 'Temperature(F)_0'})",0.34391545724028033,0.1104975925703809,0.10749473107040661,0.31256149965747027,2.8286724840487882,0.06949290099761385,1.2939374314740983,0.98535666446268
frozenset({'Temperature(F)_0'}),frozenset({'Pressure(in)_4'}),0.33985880982162747,0.25088029677353024,0.10609396686143144,0.3121707126471552,1.2443014324435044,0.020830087792282764,1.0891070168144557,0.2974154878074115
frozenset({'Pressure(in)_4'}),frozenset({'Temperature(F)_0'}),0.25088029677353024,0.33985880982162747,0.10609396686143144,0.42288680388959565,1.2443014324435044,0.020830087792282764,1.1438677795405747,0.2620892405486638
