antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'December'}),frozenset({'Weather_Fair'}),0.16689186632186911,0.39941937053422594,0.06242613733634881,0.37405140653141966,0.936487897497619,-0.004233706857214338,0.9594727677839576,-0.07527736910939882
frozenset({'Weather_Fair'}),frozenset({'December'}),0.39941937053422594,0.16689186632186911,0.06242613733634881,0.1562922130012209,0.936487897497619,-0.004233706857214338,0.9874368193775321,-0.1014653649917805
frozenset({'Weekday_Wednesday'}),frozenset({'Weather_Fair'}),0.16033518646999992,0.39941937053422594,0.06237279583359614,0.3890150203883451,0.9739513130473243,-0.0016681834207389681,0.9829711850649849,-0.0308691763300728
frozenset({'Weather_Fair'}),frozenset({'Weekday_Wednesday'}),0.39941937053422594,0.16033518646999992,0.06237279583359614,0.15615866539014403,0.9739513130473244,-0.0016681834207389681,0.9950505848569425,-0.042633923618273374
frozenset({'Weekday_Tuesday'}),frozenset({'Weather_Fair'}),0.15639800690195796,0.39941937053422594,0.061903534775596264,0.39580769603030846,0.9909576881584715,-0.0005648586939913103,0.9940223096517651,-0.01070075570172748
frozenset({'Weather_Fair'}),frozenset({'Weekday_Tuesday'}),0.39941937053422594,0.15639800690195796,0.061903534775596264,0.15498380735215694,0.9909576881584716,-0.0005648586939913103,0.9983264231359051,-0.014965950049542582
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weekday_Thursday'}),0.3692583548831803,0.16324950668120342,0.06129046790949965,0.16598261650407256,1.0167419178068722,0.0010092236369077245,1.0032770417942762,0.026106158480453952
frozenset({'Weekday_Thursday'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.16324950668120342,0.3692583548831803,0.06129046790949965,0.37544044791013537,1.0167419178068722,0.0010092236369077245,1.0098983243571713,0.019678794908541998
frozenset({'Weather_Fair'}),frozenset({'Weekday_Thursday'}),0.39941937053422594,0.16324950668120342,0.061136930881306145,0.15306451161728865,0.9376108677387662,-0.0040680843173230286,0.9879742965035462,-0.09974280821074928
frozenset({'Weekday_Thursday'}),frozenset({'Weather_Fair'}),0.16324950668120342,0.39941937053422594,0.061136930881306145,0.37449994259826735,0.9376108677387662,-0.0040680843173230286,0.9601607903291464,-0.07366456255171282
frozenset({'November'}),frozenset({'Weather_Fair'}),0.1259209068055468,0.39941937053422594,0.06106520818503735,0.48494892336931167,1.2141347143997785,0.01076995885166692,1.1660603321025842,0.20177598188197346
frozenset({'Weather_Fair'}),frozenset({'November'}),0.39941937053422594,0.1259209068055468,0.06106520818503735,0.15288494422131366,1.2141347143997783,0.01076995885166692,1.0318304310988557,0.29366276336401
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'December'}),0.3692583548831803,0.16689186632186911,0.060768586179865386,0.1645692924107034,0.9860833606672815,-0.0008576298215316469,0.9972199083777185,-0.02188562121391158
frozenset({'December'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.16689186632186911,0.3692583548831803,0.060768586179865386,0.3641195195376781,0.9860833606672815,-0.0008576298215316469,0.9919185515149546,-0.016658041422580788
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weekday_Wednesday'}),0.3692583548831803,0.16033518646999992,0.059817089103736606,0.16199251367693634,1.010336640655272,0.0006119819179364883,1.0019776997628127,0.01622040929958765
frozenset({'Weekday_Wednesday'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.16033518646999992,0.3692583548831803,0.059817089103736606,0.3730752458065647,1.010336640655272,0.0006119819179364883,1.0060882759818521,0.012184490145631834
frozenset({'Weather_Mostly Cloudy'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.13344241910923293,0.3692583548831803,0.05969887280033879,0.4473755287025383,1.2115515405035897,0.010424144648431569,1.141356704012678,0.20150084517615338
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weather_Mostly Cloudy'}),0.3692583548831803,0.13344241910923293,0.05969887280033879,0.16167236844031682,1.2115515405035897,0.010424144648431569,1.0336741248508807,0.27683614407758433
frozenset({'Weekday_Tuesday'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.15639800690195796,0.3692583548831803,0.05817431498517791,0.371963275859685,1.007325280364639,0.0004230442495526329,1.0043069471458177,0.008620191637609817
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weekday_Tuesday'}),0.3692583548831803,0.15639800690195796,0.05817431498517791,0.15754366615098556,1.007325280364639,0.0004230442495526329,1.0013599034193184,0.011529301898288113
frozenset({'Weekday_Monday'}),frozenset({'Weather_Fair'}),0.1476975753043259,0.39941937053422594,0.05620608561671608,0.3805484653414609,0.9527541561954668,-0.0027871869407692026,0.969536107125528,-0.054983026654403994
