antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Temperature(F)_4'}),frozenset({'Wind_Chill(F)_4'}),0.238984933496625,0.2566716983281593,0.21501808550027057,0.8997139792634966,3.5053104223169806,0.15367741674484964,7.412082922553079,0.9391647982596302
frozenset({'Wind_Chill(F)_4'}),frozenset({'Temperature(F)_4'}),0.2566716983281593,0.238984933496625,0.21501808550027057,0.83771637816245,3.50531042231698,0.15367741674484964,4.689413866207463,0.9615112996473933
frozenset({'Temperature(F)_3'}),frozenset({'Wind_Chill(F)_3'}),0.22725783942354247,0.25890034462134376,0.1640226709578195,0.7217470313625969,2.787740713200642,0.10518553801316236,2.6634025110596307,0.8298842933906181
frozenset({'Wind_Chill(F)_3'}),frozenset({'Temperature(F)_3'}),0.25890034462134376,0.22725783942354247,0.1640226709578195,0.6335359313550233,2.787740713200642,0.10518553801316236,2.1086437298852214,0.8653176091081505
frozenset({'Wind_Chill(F)_1'}),frozenset({'Temperature(F)_1'}),0.24916692774344223,0.1758280880635698,0.15920224431089972,0.6389381036749157,3.6338796076990305,0.11539169979709663,2.28263331114392,0.9653437544262151
frozenset({'Temperature(F)_1'}),frozenset({'Wind_Chill(F)_1'}),0.1758280880635698,0.24916692774344223,0.15920224431089972,0.9054426176399126,3.633879607699031,0.11539169979709663,7.94050187850255,0.8794427551122627
frozenset({'Wind_Chill(F)_4'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.2566716983281593,0.3778089487624961,0.1532283330010538,0.596981802041722,1.5801155689856505,0.05625546847860741,1.5438286766939382,0.49390679413289196
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Wind_Chill(F)_4'}),0.3778089487624961,0.2566716983281593,0.1532283330010538,0.4055709466463127,1.5801155689856508,0.05625546847860741,1.2504912024035235,0.5900677898481098
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Temperature(F)_4'}),0.3778089487624961,0.238984933496625,0.14909145282105324,0.3946212849362055,1.6512391771415935,0.0588008063266183,1.2570892361539003,0.6338795986574365
frozenset({'Temperature(F)_4'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.238984933496625,0.3778089487624961,0.14909145282105324,0.6238529376713146,1.6512391771415935,0.0588008063266183,1.6541164707909375,0.5182475764360289
